Delta X	Delta X%	Delta Y	Delta Y%	sum X	sum Y	sum X/N	sum Y/N	Percento X	Percento Y	Draha etalon	Draha entropy	Rozdiel drah	Rozdiel drah %
50,00	8,68	60,00	7,81	54290,00	44360,00	36,19	29,57	6,28	3,85	1266,77	1910,56	643,79	50,82
50,00	8,68	60,00	7,81	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
50,00	8,68	60,00	7,81	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
50,00	8,68	59,00	7,68	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
50,00	8,68	59,00	7,68	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
51,00	8,85	64,00	8,33	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
51,00	8,85	64,00	8,33	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
51,00	8,85	64,00	8,33	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
51,00	8,85	64,00	8,33	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
51,00	8,85	64,00	8,33	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
48,00	8,33	62,00	8,07	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
48,00	8,33	62,00	8,07	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
48,00	8,33	58,00	7,55	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
48,00	8,33	58,00	7,55	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
48,00	8,33	58,00	7,55	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
51,00	8,85	64,00	8,33	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
51,00	8,85	64,00	8,33	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
52,00	9,03	66,00	8,59	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
52,00	9,03	66,00	8,59	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
52,00	9,03	66,00	8,59	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
52,00	9,03	63,00	8,20	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
52,00	9,03	63,00	8,20	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
52,00	9,03	63,00	8,20	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
52,00	9,03	63,00	8,20	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
52,00	9,03	63,00	8,20	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
52,00	9,03	66,00	8,59	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
52,00	9,03	66,00	8,59	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
52,00	9,03	66,00	8,59	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
52,00	9,03	66,00	8,59	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
52,00	9,03	66,00	8,59	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
52,00	9,03	63,00	8,20	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
52,00	9,03	63,00	8,20	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
52,00	9,03	63,00	8,20	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
