X;Y;refX;refY;path;refPath;deltaX;deltaY;deltaX%;deltaY%
664;196;644;210;0;0;20;14;2;2
664;196;644;210;0;0;20;14;2;2
664;196;644;210;0;0;20;14;2;2
664;196;644;210;0;0;20;14;2;2
676;207;644;210;16;0;32;3;4;0
676;207;663;236;16;32;13;29;1;5
676;207;663;236;16;32;13;29;1;5
676;207;663;236;16;32;13;29;1;5
676;207;663;236;16;32;13;29;1;5
676;207;663;236;16;32;13;29;1;5
676;207;666;243;16;40;10;36;1;6
694;221;666;243;39;40;28;22;3;3
680;213;666;243;55;40;14;30;1;5
680;213;666;243;55;40;14;30;1;5
694;223;666;243;72;40;28;20;3;3
694;223;669;245;72;44;25;22;3;3
694;223;669;245;72;44;25;22;3;3
694;223;669;245;72;44;25;22;3;3
680;215;669;245;88;44;11;30;1;5
680;215;669;245;88;44;11;30;1;5
680;215;669;245;88;44;11;30;1;5
680;215;669;245;88;44;11;30;1;5
680;215;669;245;88;44;11;30;1;5
680;215;669;245;88;44;11;30;1;5
680;215;669;245;88;44;11;30;1;5
680;215;669;245;88;44;11;30;1;5
680;215;669;245;88;44;11;30;1;5
680;215;669;245;88;44;11;30;1;5
680;215;669;245;88;44;11;30;1;5
680;215;669;245;88;44;11;30;1;5
680;215;669;245;88;44;11;30;1;5
680;215;669;245;88;44;11;30;1;5
680;215;669;245;88;44;11;30;1;5
680;215;669;245;88;44;11;30;1;5
680;215;669;245;88;44;11;30;1;5
680;215;669;245;88;44;11;30;1;5
680;215;669;245;88;44;11;30;1;5
680;215;669;245;88;44;11;30;1;5
680;215;669;245;88;44;11;30;1;5
680;215;669;245;88;44;11;30;1;5
680;215;669;251;88;50;11;36;1;6
680;215;669;251;88;50;11;36;1;6
680;215;669;251;88;50;11;36;1;6
680;215;669;251;88;50;11;36;1;6
723;277;669;251;163;50;54;26;7;4
723;277;713;277;163;101;10;0;1;0
723;277;713;277;163;101;10;0;1;0
723;277;713;277;163;101;10;0;1;0
723;277;713;277;163;101;10;0;1;0
736;319;713;277;207;101;23;42;2;7
736;319;716;300;207;124;20;19;2;3
725;305;716;300;225;124;9;5;1;0
725;305;716;300;225;124;9;5;1;0
725;305;716;300;225;124;9;5;1;0
737;370;716;300;291;124;21;70;2;12
727;358;720;345;307;169;7;13;0;2
727;358;720;345;307;169;7;13;0;2
727;358;720;345;307;169;7;13;0;2
727;358;720;345;307;169;7;13;0;2
736;376;720;345;327;169;16;31;2;5
726;364;715;345;343;174;11;19;1;3
736;376;715;345;359;174;21;31;2;5
736;376;715;345;359;174;21;31;2;5
736;376;715;345;359;174;21;31;2;5
736;376;715;345;359;174;21;31;2;5
736;376;718;372;359;201;18;4;2;0
736;376;718;372;359;201;18;4;2;0
736;376;718;372;359;201;18;4;2;0
736;376;718;372;359;201;18;4;2;0
712;400;718;372;393;201;6;28;0;4
712;400;715;403;393;232;3;3;0;0
712;400;715;403;393;232;3;3;0;0
712;400;715;403;393;232;3;3;0;0
712;400;715;403;393;232;3;3;0;0
712;400;715;403;393;232;3;3;0;0
712;400;704;418;393;251;8;18;1;3
707;414;704;418;408;251;3;4;0;0
707;414;704;418;408;251;3;4;0;0
707;414;704;418;408;251;3;4;0;0
707;414;704;418;408;251;3;4;0;0
707;414;704;418;408;251;3;4;0;0
707;414;704;418;408;251;3;4;0;0
707;414;704;418;408;251;3;4;0;0
707;414;704;418;408;251;3;4;0;0
707;414;704;418;408;251;3;4;0;0
707;414;699;416;408;256;8;2;1;0
707;414;699;416;408;256;8;2;1;0
707;414;699;416;408;256;8;2;1;0
707;414;699;416;408;256;8;2;1;0
707;414;699;416;408;256;8;2;1;0
707;414;696;416;408;259;11;2;1;0
707;414;696;416;408;259;11;2;1;0
707;414;696;416;408;259;11;2;1;0
707;414;696;416;408;259;11;2;1;0
707;414;696;416;408;259;11;2;1;0
707;414;687;416;408;268;20;2;2;0
707;414;687;416;408;268;20;2;2;0
707;414;687;416;408;268;20;2;2;0
707;414;687;416;408;268;20;2;2;0
707;414;687;416;408;268;20;2;2;0
707;414;680;421;408;277;27;7;3;1
707;414;680;421;408;277;27;7;3;1
707;414;680;421;408;277;27;7;3;1
707;414;680;421;408;277;27;7;3;1
707;414;680;421;408;277;27;7;3;1
707;414;686;421;408;283;21;7;2;1
707;414;686;421;408;283;21;7;2;1
707;414;686;421;408;283;21;7;2;1
707;414;686;421;408;283;21;7;2;1
707;414;686;421;408;283;21;7;2;1
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
522;416;522;416;593;447;0;0;0;0
